departamento,ano,semana,casos,fecha,año,mes,trimestre,semana_año,dia_año,mes_sin,mes_cos,semana_sin,semana_cos,casos_lag_1,casos_lag_2,casos_lag_4,casos_lag_8,casos_lag_12,casos_ma_4,casos_std_4,casos_max_4,casos_ma_8,casos_std_8,casos_max_8,casos_ma_12,casos_std_12,casos_max_12,casos_ma_26,casos_std_26,casos_max_26,casos_diff_1,casos_pct_change_1,casos_diff_4,casos_pct_change_4,casos_diff_52,casos_pct_change_52,casos_media_region,casos_std_region,casos_max_region,casos_min_region,casos_ratio_media,casos_zscore,anomalia_if,score_if,anomalia_lof,anomalia_ocsvm,anomalia_consenso,media_historica,std_historica,nivel_riesgo,nivel_estadistico,nivel_anomalia,z_score,consenso_modelos,casos_actual,media_historica.1,desviacion_media,porcentaje_incremento
JUNIN,2022,12,95,2022-03-21,2022,3,1,12,80,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,65.0,70.0,68.0,76.0,101.0,79.25,14.103781998693355,95.0,77.625,12.397436370936866,95.0,79.83333333333333,13.299578485004432,108.0,110.53846153846152,47.31277271032064,206.0,30.0,0.4615384615384614,27.0,0.3970588235294117,-1.0,-0.0104166666666666,25.85395537525355,38.286801341036,211,1,3.674486113290444,1.806002126133095,0,-0.5464539720470051,0,0,0,93.71153846153848,46.427821501244665,normal,normal,normal,0.0277519275468695,0,95,93.71153846153848,1.288461538461533,1.3749230453519332
JUNIN,2022,13,91,2022-03-28,2022,3,1,13,87,1.0,6.123233995736766e-17,1.0,-1.6081226496766366e-16,95.0,65.0,87.0,88.0,108.0,80.25,14.952703211571258,95.0,78.0,12.795088343356031,95.0,78.41666666666667,10.672465279939786,95.0,112.1153846153846,45.875768700329736,206.0,-4.0,-0.0421052631578947,4.0,0.0459770114942528,-40.0,-0.3053435114503816,25.85395537525355,38.286801341036,211,1,3.51977090852032,1.7015274805660656,0,-0.5400579982768737,0,0,0,93.6923076923077,46.42706211393226,normal,normal,normal,-0.0579900508393306,0,91,93.6923076923077,-2.6923076923076934,-2.8735632183908058
JUNIN,2022,14,89,2022-04-04,2022,4,2,14,94,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.1205366802553228,91.0,95.0,70.0,85.0,77.0,85.0,13.56465996625054,95.0,78.5,13.180071536766611,95.0,79.41666666666667,11.08199467878464,95.0,112.73076923076924,45.43527941351979,206.0,-2.0,-0.021978021978022,19.0,0.2714285714285713,-46.0,-0.3407407407407408,25.85395537525355,38.286801341036,211,1,3.442413306135258,1.649290157782551,0,-0.5238386273015232,0,0,0,92.92307692307692,46.12720950820219,normal,normal,normal,-0.0850490841501983,0,89,92.92307692307692,-3.92307692307692,-4.221854304635758
JUNIN,2022,15,84,2022-04-11,2022,4,2,15,101,0.8660254037844387,-0.4999999999999998,0.970941817426052,-0.2393156642875575,89.0,91.0,65.0,63.0,76.0,89.75,4.573474244670751,95.0,81.125,11.655011184648664,95.0,80.08333333333333,11.098389181509512,95.0,112.53846153846152,45.55017520864723,206.0,-5.0,-0.0561797752808989,19.0,0.2923076923076924,-36.0,-0.3,25.85395537525355,38.286801341036,211,1,3.249019300172604,1.5186968508237642,0,-0.5253974025784842,0,0,0,92.03846153846152,45.74394272060452,normal,normal,normal,-0.1757273435645667,0,84,92.03846153846152,-8.038461538461533,-8.733806936899285
JUNIN,2022,16,99,2022-04-18,2022,4,2,16,108,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.3546048870425354,84.0,89.0,95.0,68.0,76.0,90.75,6.23832242407097,99.0,85.0,11.82007976767862,99.0,82.0,12.254869162166644,99.0,112.3076923076923,45.605060447954,206.0,15.0,0.1785714285714286,4.0,0.0421052631578946,-27.0,-0.2142857142857143,25.85395537525355,38.286801341036,211,1,3.829201318060568,1.9104767717001243,0,-0.5185669453081806,0,0,0,91.34615384615384,45.584605509172185,normal,normal,normal,0.1679041875728443,0,99,91.34615384615384,7.65384615384616,8.378947368421061
JUNIN,2022,17,93,2022-04-25,2022,4,2,17,115,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,99.0,84.0,91.0,87.0,88.0,91.25,6.344288770224763,99.0,85.75,12.150837713625217,99.0,82.41666666666667,12.558650284552945,99.0,110.8846153846154,45.60818077764288,206.0,-6.0,-0.0606060606060605,2.0,0.0219780219780219,-40.0,-0.3007518796992481,25.85395537525355,38.286801341036,211,1,3.597128510905382,1.7537648033495803,0,-0.5202059817211427,0,0,0,90.82692307692308,45.33523113985164,normal,normal,normal,0.047933513703136,0,93,90.82692307692308,2.17307692307692,2.3925471098877797
JUNIN,2022,18,101,2022-05-02,2022,5,2,18,122,0.4999999999999999,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,93.0,99.0,89.0,70.0,85.0,94.25,7.632168761236876,101.0,89.625,11.325540037581291,101.0,83.75,13.658996369359883,101.0,110.23076923076924,45.62394782769916,206.0,8.0,0.086021505376344,12.0,0.1348314606741574,-2.0,-0.0194174757281553,25.85395537525355,38.286801341036,211,1,3.9065589204456304,1.962714094483639,0,-0.5233977021721459,0,0,0,90.0576923076923,44.94328166833346,normal,normal,normal,0.2434692636167136,0,101,90.0576923076923,10.942307692307692,12.150330984411704
JUNIN,2022,19,103,2022-05-09,2022,5,2,19,129,0.4999999999999999,-0.8660254037844387,0.7485107481711013,-0.663122658240795,101.0,93.0,84.0,65.0,63.0,99.0,4.320493798938576,103.0,94.375,6.43511571657527,103.0,87.08333333333333,12.999708621443355,103.0,108.07692307692308,44.53845356715751,206.0,2.0,0.0198019801980198,19.0,0.2261904761904762,-3.0,-0.0283018867924528,25.85395537525355,38.286801341036,211,1,3.983916522830692,2.0149514172671537,0,-0.5234893765920687,0,0,0,90.01923076923077,44.93284330241992,normal,normal,normal,0.288892673526185,0,103,90.01923076923077,12.980769230769226,14.419995727408669
JUNIN,2022,20,83,2022-05-16,2022,5,2,20,136,0.4999999999999999,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,103.0,101.0,99.0,95.0,68.0,95.0,9.092121131323903,103.0,92.875,7.567552916422647,103.0,88.33333333333333,11.648904227307137,103.0,103.34615384615384,40.0249345360537,198.0,-20.0,-0.1941747572815534,-16.0,-0.1616161616161616,-63.0,-0.4315068493150684,25.85395537525355,38.286801341036,211,1,3.2103404989800723,1.492578189432007,0,-0.5324954405146722,0,0,0,89.96153846153847,44.91384412032844,normal,normal,normal,-0.1549976092647034,0,83,89.96153846153847,-6.961538461538467,-7.738349722103469
JUNIN,2022,21,55,2022-05-23,2022,5,2,21,143,0.4999999999999999,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,83.0,103.0,93.0,91.0,87.0,85.5,22.23360819420306,103.0,88.375,15.445179553134732,103.0,85.66666666666667,15.125735644519352,103.0,97.84615384615384,36.13385371940536,193.0,-28.0,-0.3373493975903614,-38.0,-0.4086021505376344,-58.0,-0.5132743362831859,25.85395537525355,38.286801341036,211,1,2.127334065589205,0.7612556704628015,0,-0.5517509106835304,0,0,0,88.75,44.2168785978972,normal,normal,normal,-0.7632831866518283,0,55,88.75,-33.75,-38.0281690140845
